"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-01-31,25294,"Jamaica","NY","New York","Queens","New York",22,378500,0.00852651212363443,0.0310542086624898,0.0879563092842771,0.0422878555525814,0.00507963294795521,"2007-05","2007-Q2",429100,-0.117921230482405,"2006-04"
2016-01-31,275237,"Roosevelt","CA","Fresno","Fresno","Fresno",23,142400,0.00211118930330753,0.00564971751412429,0.0771558245083207,0.08272860397912,-0.0470197373957129,"2006-06","2006-Q2",236000,-0.396610169491525,"2004-04"
2016-01-31,343222,"Williamsbridge","NY","New York","Bronx","New York",24,347300,0.00462829042522418,0.00346720600982375,0.0611060189428659,0.01600088147715,-0.00490396594721954,"2007-05","2007-Q2",419700,-0.172504169644985,"2005-11"
2016-01-31,193587,"Bushwick","NY","New York","Kings","New York",25,786600,0.0164103889391394,0.0664316702819957,0.23932566566882,0.19655040038557,0.0975522833158917,"2016-01","2016-Q1",786600,0,"2016-01"
2016-01-31,274742,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",26,511100,0.00156770527140898,0.00987947046038332,0.0394549522066301,0.0629236058445535,-0.020884582728799,"2006-02","2006-Q1",633100,-0.192702574632759,"2005-04"
2016-01-31,194379,"East Flatbush","NY","New York","Kings","New York",27,418200,0.00722543352601156,0.0325925925925926,0.0870808422147128,0.0249045574872022,0.0068767185582479,"2007-12","2007-Q4",473000,-0.115856236786469,"2006-05"
2016-01-31,35521,"Enterprise","NV","Las Vegas","Clark","Las Vegas",28,231200,0.00478053020425902,0.0185022026431718,0.0783582089552239,0.0927247648164831,-0.039152079343217,"2006-03","2006-Q1",345600,-0.331018518518519,"2004-03"
2016-01-31,273565,"East San Jose","CA","San Jose","Santa Clara","San Jose",29,580200,0.00259201658890617,0.0120355834641549,0.0848915482423336,0.120491251723323,-0.00642022640821516,"2007-02","2007-Q1",622900,-0.0685503291057955,"2005-07"
2016-01-31,267971,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",30,141700,0.0150429799426934,0.0457564575645757,0.130885873902634,0.134788627574354,-0.0324122477625195,"2006-12","2006-Q4",211000,-0.328436018957346,"2005-01"
2016-01-31,273555,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",31,92600,0.00216450216450216,0.00871459694989107,0.0334821428571429,-0.00447492924137149,-0.00666078879540877,"2007-04","2007-Q2",102300,-0.0948191593352884,"2005-03"
2016-01-31,275456,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",32,157200,0.00063653723742839,0.00640204865556978,0.0536193029490617,0.0175545771755876,0.0164759967837536,"2016-01","2016-Q1",157200,0,"2016-01"
2016-01-31,46795,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",33,515800,0.00722515133762937,0.0236157967850764,0.107104528868856,0.0763122854762885,-0.00650768264207291,"2006-06","2006-Q2",568000,-0.0919014084507042,"2005-09"
2016-01-31,403223,"Elmhurst","NY","New York","Queens","New York",34,314200,-0.0373774509803922,-0.0887470997679814,-0.136813186813187,0.00051000919040467,,"2015-01","2015-Q1",364000,-0.136813186813187,"2013-07"
2016-01-31,273088,"Bullard","CA","Fresno","Fresno","Fresno",35,239700,0.00250941028858218,0.00883838383838384,0.0448997384481255,0.0428913052395703,-0.0379411532447752,"2006-02","2006-Q1",353300,-0.321539767902632,"2004-03"
2016-01-31,274514,"Mid City","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",36,737100,0.00422343324250681,0.00559345156889495,0.0422794117647059,0.088669045350154,0.00437705780641195,"2016-01","2016-Q1",737100,0,"2016-01"
2016-01-31,193285,"Bensonhurst","NY","New York","Kings","New York",37,646300,0.00108426270136307,0.00669781931464175,-0.00216149451906747,0.0483872183758225,0.0224940115590382,"2015-01","2015-Q1",647700,-0.00216149451906747,"2015-01"
2016-01-31,276246,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",38,80600,-0.00738916256157635,-0.0182704019488429,-0.00738916256157635,-0.0151657182361405,0.0159554405390221,"2009-06","2009-Q2",97600,-0.174180327868852,"2008-11"
2016-01-31,271503,"Northeast","TX","El Paso","El Paso","El Paso",39,90200,0.00110987791342952,0.00333704115684093,0.0123456790123457,-0.0105241381197673,0.00583720964894807,"2007-11","2007-Q4",100600,-0.10337972166998,"2006-07"
2016-01-31,275501,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",40,120000,0.0118043844856661,0.0318142734307825,0.153846153846154,0.0711501111419426,0.0148039501701442,"2016-01","2016-Q1",120000,0,"2016-01"
2016-01-31,268236,"Koreatown","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",41,573100,0.00157287661656763,0.0157745480326125,0.0758400600713347,0.0896933870471095,0.0066774952942017,"2007-11","2007-Q4",585800,-0.0216797541823148,"2006-12"
2016-01-31,276023,"Westlake","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",42,504900,-0.0105820105820106,-0.0264172772849981,0.0717469751645086,0.111886721493954,0.00527986888424903,"2015-10","2015-Q4",518600,-0.0264172772849981,"2015-08"
2016-01-31,276652,"West San Jose","CA","San Jose","Santa Clara","San Jose",43,1233200,0.00982640026203734,0.0340432668120074,0.169907978370174,0.118041867188641,0.0476408534362158,"2016-01","2016-Q1",1233200,0,"2016-01"
2016-01-31,276659,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",44,56900,0.00176056338028169,0.0142602495543672,0.0106571936056838,-0.00553093039136354,-0.0269815688592236,"2007-05","2007-Q2",77400,-0.264857881136951,"1998-11"
2016-01-31,273527,"East","TX","Dallas-Fort Worth","Tarrant","Arlington",45,101000,0.0130391173520562,0.0253807106598985,0.141242937853107,0.0647631254945502,0.00540477522087168,"2016-01","2016-Q1",101000,0,"2016-01"
2016-01-31,276476,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Long Beach",46,370600,0.00542593597395551,0.017852238396045,0.0810968494749125,0.0801920455351248,-0.0171749063038134,"2006-08","2006-Q3",465500,-0.203866809881847,"2005-03"
2016-01-31,193640,"Canarsie","NY","New York","Kings","New York",47,382900,0.00630749014454665,0.0248929336188437,0.0902619589977221,0.0129173083193488,-0.00070242361026418,"2007-12","2007-Q4",458400,-0.164703315881326,"2006-01"
2016-01-31,271511,"Northwest","TX","El Paso","El Paso","El Paso",48,184100,0.00326975476839237,0.0109829763866008,0.0148842337375965,-0.0243038020224275,0.00746779575005307,"2010-11","2010-Q4",211800,-0.130783758262512,"2006-08"
2016-01-31,275467,"Southeast","TX","Dallas-Fort Worth","Tarrant","Arlington",49,155300,0.00582901554404145,0.0150326797385621,0.119682768565249,0.0654713350792422,0.0153929194027222,"2016-01","2016-Q1",155300,0,"2016-01"
2016-01-31,269592,"Logan Square","IL","Chicago","Cook","Chicago",50,258400,0.00349514563106796,-0.000386847195357834,0.0373344038538739,0.0280683713748104,-0.0111978044254082,"2006-08","2006-Q3",297100,-0.130259171995961,"2005-01"
2016-01-31,343217,"South Bronx","NY","New York","Bronx","New York",51,322800,-0.000619195046439629,-0.0098159509202454,0.0326295585412668,0.0316727758182549,0.00785700589626992,"2007-10","2007-Q4",352100,-0.0832149957398466,"2006-09"
2016-01-31,275090,"Preston Hollow","TX","Dallas-Fort Worth","Dallas","Dallas",52,322900,0.0144517750549796,0.0416129032258064,0.174181818181818,0.0932097644559557,0.0442611876716015,"2016-01","2016-Q1",322900,0,"2016-01"
2016-01-31,275454,"South Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",53,279100,0.0039568345323741,0.0219699743683632,0.0738745671412082,0.104366671145546,-0.0087698865493846,"2006-03","2006-Q1",306600,-0.0896934116112198,"2005-09"
2016-01-31,41131,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",54,444600,0.00907852927825692,0.0234806629834254,0.0985915492957746,0.0879441614622431,-0.013474975133003,"2006-08","2006-Q3",531800,-0.16397141782625,"2005-05"
2016-01-31,30731,"Canoga Park","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",55,414200,-0.00408752103871123,-0.00980157781496534,0.0122189638318671,0.0604212870805472,-0.0219632860185819,"2006-06","2006-Q2",533000,-0.222889305816135,"2004-10"
2016-01-31,273480,"Downtown","CA","San Jose","Santa Clara","San Jose",56,664800,0.00529260547406623,0.0227692307692308,0.115249119275289,0.105182749387997,0.0114435896131591,"2016-01","2016-Q1",664800,0,"2016-01"
2016-01-31,27182,"South Ozone Park","NY","New York","Queens","New York",57,425800,0.00876569533285951,0.0252829280038526,0.0898387509598157,0.0435282170347977,-0.000257970850250255,"2007-05","2007-Q2",496000,-0.141532258064516,"2006-01"
